30930,227.6,0.016,1000.0,28.95,1.4
31568,228.2,0.014,950.0,28.95,1.4
32214,229.2,0.013,860.0,28.95,1.4
32867,231.1,0.012,780.0,28.95,1.4
33529,232.9,0.011,710.0,28.95,1.4
34199,234.8,0.0096,650.0,28.95,1.4
34876,236.7,0.0087,590.0,28.95,1.4
35562,238.6,0.0078,530.0,28.95,1.4
36256,240.6,0.007,480.0,28.95,1.4
36958,242.5,0.0063,440.0,28.95,1.4
37668,244.5,0.0057,400.0,28.95,1.4
38386,246.5,0.0051,360.0,28.95,1.4
39113,248.6,0.0046,320.0,28.95,1.4
39847,250.6,0.0041,290.0,28.95,1.4
40590,252.7,0.0037,270.0,28.95,1.4
41341,254.8,0.0033,240.0,28.95,1.4
42101,256.9,0.0029,220.0,28.95,1.4
42869,259.1,0.0026,200.0,28.95,1.4
43645,261.3,0.0024,180.0,28.95,1.4
44429,263.5,0.0021,160.0,28.95,1.4
45218,265.7,0.0019,150.0,28.95,1.4
46011,267.9,0.0017,130.0,28.95,1.4
46810,270.1,0.0015,120.0,28.95,1.4
47613,270.7,0.0014,110.0,28.95,1.4
48421,270.7,0.0013,97.0,28.95,1.4
49234,270.7,0.0011,88.0,28.95,1.4
50052,270.7,0.001,79.0,28.95,1.4
50874,270.7,9.2e-4,72.0,28.95,1.4
51701,268.7,8.3e-4,65.0,28.95,1.4
52533,266.4,7.5e-4,58.0,28.95,1.4
53369,264,6.8e-4,52.0,28.95,1.4
54210,261.7,6.1e-4,47.0,28.95,1.4
55056,259.3,5.5e-4,42.0,28.95,1.4
55906,256.9,5.0e-4,38.0,28.95,1.4
56761,254.5,4.5e-4,34.0,28.95,1.4
57620,252.1,4.1e-4,31.0,28.95,1.4
58484,249.7,3.7e-4,27.0,28.95,1.4
59352,247.3,3.3e-4,24.0,28.95,1.4
60225,244.8,3.0e-4,22.0,28.95,1.4
61102,242.4,2.7e-4,19.0,28.95,1.4
61983,239.9,2.4e-4,17.0,28.96,1.4
62868,237.4,2.2e-4,15.0,28.97,1.4
63758,234.9,1.9e-4,14.0,28.98,1.4
64652,232.4,1.7e-4,12.0,28.99,1.4
65550,229.9,1.6e-4,11.0,29,1.4
66452,227.4,1.4e-4,9.3,29.01,1.4
67349,224.9,1.2e-4,8.2,29.02,1.41
68238,222.4,1.1e-4,7.2,29.03,1.41
69120,219.9,9.8e-5,6.3,29.04,1.41
69996,217.5,8.8e-5,5.5,29.05,1.41
70867,215,7.8e-5,4.8,29.06,1.41
71732,213.2,6.9e-5,4.2,29.07,1.41
72591,211.5,6.1e-5,3.7,29.07,1.41
73444,209.8,5.5e-5,3.2,29.07,1.41
74292,208.1,4.8e-5,2.8,29.08,1.41
75134,206.4,4.3e-5,2.4,29.07,1.41
75971,204.7,3.8e-5,2.1,29.07,1.41
76801,203,3.3e-5,1.8,29.06,1.41
77627,201.4,2.9e-5,1.6,29.06,1.41
78447,199.8,2.6e-5,1.4,29.05,1.41
79261,198.1,2.3e-5,1.2,29.03,1.41
80070,196.5,2.0e-5,1.0,29.02,1.41
80874,194.9,1.7e-5,0.88,29,1.41
81672,193.3,1.5e-5,0.76,28.98,1.41
82465,191.7,1.3e-5,0.66,28.95,1.41
83252,190.1,1.1e-5,0.57,28.92,1.41
84035,188.6,9.5e-6,0.49,28.9,1.41
84812,187,8.3e-6,0.43,28.86,1.41
85584,185.8,7.2e-6,0.37,28.83,1.41
86351,184.7,6.2e-6,0.32,28.79,1.41
87112,183.7,5.4e-6,0.28,28.75,1.41
87869,182.8,4.7e-6,0.24,28.71,1.41
88620,182,4.1e-6,0.21,28.67,1.41
89367,181.2,3.6e-6,0.18,28.62,1.41
90108,180.6,3.1e-6,0.16,28.57,1.41
90845,180,2.7e-6,0.14,28.52,1.41
91576,179.5,2.4e-6,0.12,28.47,1.41
92303,179.1,2.1e-6,0.11,28.41,1.41
93025,178.8,1.8e-6,0.095,28.36,1.41
93742,178.6,1.6e-6,0.083,28.3,1.41
94455,178.5,1.4e-6,0.073,28.24,1.41
95163,178.6,1.2e-6,0.065,28.18,1.41
95866,178.8,1.1e-6,0.057,28.11,1.41
96564,179.2,9.5e-7,0.051,28.05,1.41
97258,179.8,8.3e-7,0.045,27.98,1.41
97947,180.5,7.4e-7,0.04,27.92,1.41
98632,181.5,6.5e-7,0.035,27.85,1.41
99313,182.6,5.8e-7,0.032,27.78,1.41
99989,184,5.1e-7,0.028,27.71,1.41
100660,185.6,4.5e-7,0.025,27.65,1.41
101327,187.4,4.0e-7,0.023,27.58,1.41
101990,189.5,3.6e-7,0.02,27.51,1.41
102649,191.8,3.2e-7,0.018,27.44,1.41
103303,194.3,2.8e-7,0.016,27.37,1.41
103953,197.2,2.5e-7,0.015,27.3,1.41
104599,200.3,2.2e-7,0.013,27.23,1.41
105241,203.7,2.0e-7,0.012,27.16,1.41
105879,207.3,1.8e-7,0.011,27.1,1.41
106513,211.3,1.6e-7,0.01,27.04,1.41
107142,215.5,1.4e-7,0.0092,26.98,1.41
107768,220,1.3e-7,0.0085,26.92,1.41
108390,224.8,1.2e-7,0.0078,26.86,1.41
109008,229.9,1.0e-7,0.0071,26.8,1.41
109622,235.3,9.4e-8,0.0066,26.74,1.41
110232,241,8.5e-8,0.0061,26.69,1.41
110838,247,7.7e-8,0.0056,26.63,1.41
111441,253.2,7.0e-8,0.0052,26.58,1.41
112040,259.7,6.3e-8,0.0048,26.53,1.41
112635,266.5,5.7e-8,0.0045,26.47,1.41
113226,273.6,5.2e-8,0.0042,26.42,1.41
113814,280.9,4.7e-8,0.0039,26.37,1.42
114399,288.5,4.3e-8,0.0037,26.32,1.42
114980,296.3,3.9e-8,0.0034,26.27,1.42
115557,304.4,3.6e-8,0.0032,26.23,1.42
116131,312.6,3.3e-8,0.0031,26.18,1.42
116701,321.1,3.0e-8,0.0029,26.13,1.42
